,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_52_family', 4756, 0, 0, 'no', 'openai']"
7,"['d3_52_family', 4756, 0, 0, 'no', 'mistral']"
8,"['d3_52_family', 4756, 0, 0, 'no', 'meta']"
9,"['d3_52_family', 186, 1, 1, 'yes', 'openai']"
10,"['d3_52_family', 186, 1, 1, 'yes', 'meta']"
11,"['d3_52_family', 186, 1, 1, 'yes', 'mistral']"
12,"['d3_52_family', 2045, 0, 0, 'no', 'mistral']"
13,"['d3_52_family', 2045, 0, 0, 'no', 'meta']"
14,"['d3_52_family', 2045, 0, 0, 'no', 'openai']"
15,"['d3_52_family', 1660, 0, 1, 'yes', 'openai']"
16,"['d3_52_family', 1660, 0, 0, 'no', 'meta']"
17,"['d3_52_family', 1660, 0, 0, 'no', 'mistral']"
18,"['d3_52_family', 5477, 0, 0, 'no', 'mistral']"
19,"['d3_52_family', 5477, 0, 0, 'no', 'meta']"
20,"['d3_52_family', 5477, 0, 0, 'no', 'openai']"
21,"['d3_52_family', 5033, 0, 0, 'no', 'openai']"
22,"['d3_52_family', 5033, 0, 0, 'no', 'mistral']"
23,"['d3_52_family', 5033, 0, 0, 'no', 'meta']"
24,"['d3_52_family', 6636, 0, 1, 'yes', 'openai']"
25,"['d3_52_family', 6636, 0, 0, 'no', 'mistral']"
26,"['d3_52_family', 6636, 0, 1, 'yes', 'meta']"
27,"['d3_52_family', 646, 1, 1, 'yes', 'mistral']"
28,"['d3_52_family', 646, 1, 1, 'yes', 'meta']"
29,"['d3_52_family', 646, 1, 1, 'yes', 'openai']"
30,"['d3_52_family', 3138, 0, 0, 'no', 'openai']"
31,"['d3_52_family', 3138, 0, 0, 'no', 'meta']"
32,"['d3_52_family', 3138, 0, 0, 'no', 'mistral']"
33,"['d3_52_family', 221, 1, 1, 'yes', 'mistral']"
34,"['d3_52_family', 221, 1, 1, 'yes', 'meta']"
35,"['d3_52_family', 221, 1, 1, 'yes', 'openai']"
36,"['d3_52_family', 1626, 0, 0, 'no', 'mistral']"
37,"['d3_52_family', 1626, 0, 0, 'no', 'meta']"
38,"['d3_52_family', 1626, 0, 1, 'yes', 'openai']"
39,"['d3_52_family', 3758, 0, 0, 'no', 'mistral']"
40,"['d3_52_family', 3758, 0, 0, 'no', 'meta']"
41,"['d3_52_family', 3758, 0, 0, 'no', 'openai']"
42,"['d3_52_family', 197, 1, 1, 'yes', 'openai']"
43,"['d3_52_family', 197, 1, 1, 'yes', 'mistral']"
44,"['d3_52_family', 197, 1, 1, 'yes', 'meta']"
45,"['d3_52_family', 1478, 0, 0, 'no', 'openai']"
46,"['d3_52_family', 1478, 0, 0, 'no', 'mistral']"
47,"['d3_52_family', 1478, 0, 1, 'yes', 'meta']"
48,"['d3_52_family', 4833, 0, 1, 'yes', 'mistral']"
49,"['d3_52_family', 4833, 0, 1, 'yes', 'meta']"
50,"['d3_52_family', 4833, 0, 1, 'yes', 'openai']"
51,"['d3_52_family', 4053, 0, 0, 'no', 'meta']"
52,"['d3_52_family', 4053, 0, 0, 'no', 'openai']"
53,"['d3_52_family', 4053, 0, 0, 'no', 'mistral']"
54,"['d3_52_family', 1639, 0, 0, 'no', 'openai']"
55,"['d3_52_family', 1639, 0, 0, 'no', 'meta']"
56,"['d3_52_family', 1639, 0, 0, 'no', 'mistral']"
57,"['d3_52_family', 4382, 0, 0, 'no', 'mistral']"
58,"['d3_52_family', 4382, 0, 0, 'no', 'meta']"
59,"['d3_52_family', 4382, 0, 0, 'no', 'openai']"
60,"['d3_52_family', 6020, 0, 1, 'yes', 'openai']"
61,"['d3_52_family', 6020, 0, 0, 'no', 'meta']"
62,"['d3_52_family', 6020, 0, 0, 'no', 'mistral']"
63,"['d3_52_family', 48, 1, 1, 'yes', 'openai']"
64,"['d3_52_family', 48, 1, 1, 'yes', 'meta']"
65,"['d3_52_family', 48, 1, 1, 'yes', 'mistral']"
66,"['d3_52_family', 5993, 0, 0, 'no', 'mistral']"
67,"['d3_52_family', 5993, 0, 0, 'no', 'meta']"
68,"['d3_52_family', 5993, 0, 0, 'no', 'openai']"
69,"['d3_52_family', 5192, 0, 0, 'no', 'openai']"
70,"['d3_52_family', 5192, 0, 0, 'no', 'mistral']"
71,"['d3_52_family', 5192, 0, 0, 'no', 'meta']"
72,"['d3_52_family', 2530, 0, 0, 'no', 'mistral']"
73,"['d3_52_family', 2530, 0, 0, 'no', 'meta']"
74,"['d3_52_family', 2530, 0, 0, 'no', 'openai']"
75,"['d3_52_family', 1156, 0, 0, 'no', 'mistral']"
76,"['d3_52_family', 1156, 0, 1, 'yes', 'meta']"
77,"['d3_52_family', 1156, 0, 1, 'yes', 'openai']"
78,"['d3_52_family', 7119, 0, 1, 'yes', 'openai']"
79,"['d3_52_family', 7119, 0, 1, 'yes', 'mistral']"
80,"['d3_52_family', 7119, 0, 0, 'no', 'meta']"
81,"['d3_52_family', 2503, 0, 0, 'no', 'meta']"
82,"['d3_52_family', 2503, 0, 0, 'no', 'openai']"
83,"['d3_52_family', 2503, 0, 0, 'no', 'mistral']"
84,"['d3_52_family', 689, 1, 1, 'yes', 'openai']"
85,"['d3_52_family', 689, 1, 1, 'yes', 'mistral']"
86,"['d3_52_family', 689, 1, 1, 'yes', 'meta']"
87,"['d3_52_family', 719, 1, 1, 'yes', 'mistral']"
88,"['d3_52_family', 719, 1, 1, 'yes', 'meta']"
89,"['d3_52_family', 719, 1, 1, 'yes', 'openai']"
90,"['d3_52_family', 6303, 0, 0, 'no', 'meta']"
91,"['d3_52_family', 6303, 0, 1, 'yes', 'openai']"
92,"['d3_52_family', 6303, 0, 0, 'no', 'mistral']"
93,"['d3_52_family', 4490, 0, 0, 'no', 'openai']"
94,"['d3_52_family', 4490, 0, 1, 'yes', 'meta']"
95,"['d3_52_family', 4490, 0, 0, 'no', 'mistral']"
96,"['d3_52_family', 6003, 0, 0, 'no', 'meta']"
97,"['d3_52_family', 6003, 0, 0, 'no', 'openai']"
98,"['d3_52_family', 6003, 0, 0, 'no', 'mistral']"
99,"['d3_52_family', 5427, 0, 0, 'no', 'mistral']"
100,"['d3_52_family', 5427, 0, 0, 'no', 'meta']"
101,"['d3_52_family', 5427, 0, 0, 'no', 'openai']"
102,"['d3_52_family', 3988, 0, 0, 'no', 'meta']"
103,"['d3_52_family', 3988, 0, 0, 'no', 'openai']"
104,"['d3_52_family', 3988, 0, 0, 'no', 'mistral']"
105,"['d3_52_family', 7238, 0, 0, 'no', 'openai']"
106,"['d3_52_family', 7238, 0, 0, 'no', 'mistral']"
107,"['d3_52_family', 7238, 0, 0, 'no', 'meta']"
108,"['d3_52_family', 2815, 0, 0, 'no', 'openai']"
109,"['d3_52_family', 2815, 0, 0, 'no', 'meta']"
110,"['d3_52_family', 2815, 0, 0, 'no', 'mistral']"
111,"['d3_52_family', 4106, 0, 0, 'no', 'mistral']"
112,"['d3_52_family', 4106, 0, 0, 'no', 'meta']"
113,"['d3_52_family', 4106, 0, 1, 'yes', 'openai']"
114,"['d3_52_family', 6169, 0, 0, 'no', 'openai']"
115,"['d3_52_family', 6169, 0, 0, 'no', 'mistral']"
116,"['d3_52_family', 6169, 0, 0, 'no', 'meta']"
117,"['d3_52_family', 4600, 0, 0, 'no', 'mistral']"
118,"['d3_52_family', 4600, 0, 0, 'no', 'meta']"
119,"['d3_52_family', 4600, 0, 0, 'no', 'openai']"
120,"['d3_52_family', 6409, 0, 0, 'no', 'openai']"
121,"['d3_52_family', 6409, 0, 1, 'yes', 'meta']"
122,"['d3_52_family', 6409, 0, 0, 'no', 'mistral']"
123,"['d3_52_family', 4294, 0, 0, 'no', 'openai']"
124,"['d3_52_family', 4294, 0, 0, 'no', 'mistral']"
125,"['d3_52_family', 4294, 0, 1, 'yes', 'meta']"
126,"['d3_52_family', 5240, 0, 0, 'no', 'openai']"
127,"['d3_52_family', 5240, 0, 0, 'no', 'meta']"
128,"['d3_52_family', 5240, 0, 0, 'no', 'mistral']"
129,"['d3_52_family', 340, 1, 1, 'yes', 'openai']"
130,"['d3_52_family', 340, 1, 1, 'yes', 'meta']"
131,"['d3_52_family', 340, 1, 1, 'yes', 'mistral']"
132,"['d3_52_family', 1695, 0, 0, 'no', 'mistral']"
133,"['d3_52_family', 1695, 0, 1, 'yes', 'meta']"
134,"['d3_52_family', 1695, 0, 1, 'yes', 'openai']"
135,"['d3_52_family', 2152, 0, 0, 'no', 'openai']"
136,"['d3_52_family', 2152, 0, 0, 'no', 'meta']"
137,"['d3_52_family', 2152, 0, 0, 'no', 'mistral']"
138,"['d3_52_family', 593, 1, 1, 'yes', 'mistral']"
139,"['d3_52_family', 593, 1, 1, 'yes', 'meta']"
140,"['d3_52_family', 593, 1, 1, 'yes', 'openai']"
141,"['d3_52_family', 1731, 0, 0, 'no', 'mistral']"
142,"['d3_52_family', 1731, 0, 0, 'no', 'meta']"
143,"['d3_52_family', 1731, 0, 0, 'no', 'openai']"
144,"['d3_52_family', 751, 0, 0, 'no', 'meta']"
145,"['d3_52_family', 751, 0, 0, 'no', 'openai']"
146,"['d3_52_family', 751, 0, 0, 'no', 'mistral']"
147,"['d3_52_family', 2067, 0, 0, 'no', 'mistral']"
148,"['d3_52_family', 2067, 0, 0, 'no', 'meta']"
149,"['d3_52_family', 2067, 0, 0, 'no', 'openai']"
150,"['d3_52_family', 4728, 0, 0, 'no', 'mistral']"
151,"['d3_52_family', 4728, 0, 0, 'no', 'meta']"
152,"['d3_52_family', 4728, 0, 1, 'yes', 'openai']"
153,"['d3_52_family', 2713, 0, 1, 'yes', 'meta']"
154,"['d3_52_family', 2713, 0, 1, 'yes', 'openai']"
155,"['d3_52_family', 2713, 0, 1, 'yes', 'mistral']"
156,"['d3_52_family', 2753, 0, 1, 'yes', 'meta']"
157,"['d3_52_family', 2753, 0, 1, 'yes', 'openai']"
158,"['d3_52_family', 2753, 0, 0, 'no', 'mistral']"
159,"['d3_52_family', 1558, 0, 1, 'yes', 'openai']"
160,"['d3_52_family', 1558, 0, 1, 'yes', 'meta']"
161,"['d3_52_family', 1558, 0, 1, 'yes', 'mistral']"
162,"['d3_52_family', 1985, 0, 0, 'no', 'openai']"
163,"['d3_52_family', 1985, 0, 0, 'no', 'mistral']"
