,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_29_sexis', 137, 0, 0, 'no', 'mistral']"
7,"['d3_29_sexis', 137, 0, 0, 'no', 'meta']"
8,"['d3_29_sexis', 137, 0, 0, 'no', 'openai']"
9,"['d3_29_sexis', 5, 1, 1, 'yes', 'mistral']"
10,"['d3_29_sexis', 5, 1, 1, 'yes', 'meta']"
11,"['d3_29_sexis', 5, 1, 1, 'yes', 'openai']"
12,"['d3_29_sexis', 59, 0, 1, 'yes', 'mistral']"
13,"['d3_29_sexis', 59, 0, 1, 'yes', 'meta']"
14,"['d3_29_sexis', 59, 0, 1, 'yes', 'openai']"
15,"['d3_29_sexis', 47, 0, 1, 'yes', 'mistral']"
16,"['d3_29_sexis', 47, 0, 0, 'no', 'meta']"
17,"['d3_29_sexis', 47, 0, 1, 'yes', 'openai']"
18,"['d3_29_sexis', 158, 0, 0, 'no', 'openai']"
19,"['d3_29_sexis', 158, 0, 0, 'no', 'meta']"
20,"['d3_29_sexis', 158, 0, 0, 'no', 'mistral']"
21,"['d3_29_sexis', 145, 0, 0, 'no', 'mistral']"
22,"['d3_29_sexis', 145, 0, 0, 'no', 'meta']"
23,"['d3_29_sexis', 145, 0, 0, 'no', 'openai']"
24,"['d3_29_sexis', 191, 0, 0, 'no', 'mistral']"
25,"['d3_29_sexis', 191, 0, 0, 'no', 'meta']"
26,"['d3_29_sexis', 191, 0, 0, 'no', 'openai']"
27,"['d3_29_sexis', 18, 1, 1, 'yes', 'meta']"
28,"['d3_29_sexis', 18, 1, 1, 'yes', 'openai']"
29,"['d3_29_sexis', 18, 1, 1, 'yes', 'mistral']"
30,"['d3_29_sexis', 90, 0, 0, 'no', 'meta']"
31,"['d3_29_sexis', 90, 0, 0, 'no', 'openai']"
32,"['d3_29_sexis', 90, 0, 0, 'no', 'mistral']"
33,"['d3_29_sexis', 6, 1, 0, 'no', 'openai']"
34,"['d3_29_sexis', 6, 1, 0, 'no', 'meta']"
35,"['d3_29_sexis', 6, 1, 0, 'no', 'mistral']"
36,"['d3_29_sexis', 47, 0, 0, 'no', 'meta']"
37,"['d3_29_sexis', 47, 0, 1, 'yes', 'openai']"
38,"['d3_29_sexis', 47, 0, 1, 'yes', 'mistral']"
39,"['d3_29_sexis', 108, 0, 0, 'no', 'mistral']"
40,"['d3_29_sexis', 108, 0, 0, 'no', 'meta']"
41,"['d3_29_sexis', 108, 0, 0, 'no', 'openai']"
42,"['d3_29_sexis', 5, 1, 1, 'yes', 'openai']"
43,"['d3_29_sexis', 5, 1, 1, 'yes', 'meta']"
44,"['d3_29_sexis', 5, 1, 1, 'yes', 'mistral']"
45,"['d3_29_sexis', 42, 0, 0, 'no', 'mistral']"
46,"['d3_29_sexis', 42, 0, 0, 'no', 'meta']"
47,"['d3_29_sexis', 42, 0, 0, 'no', 'openai']"
48,"['d3_29_sexis', 139, 0, 0, 'no', 'openai']"
49,"['d3_29_sexis', 139, 0, 0, 'no', 'meta']"
50,"['d3_29_sexis', 139, 0, 0, 'no', 'mistral']"
51,"['d3_29_sexis', 117, 0, 0, 'no', 'mistral']"
52,"['d3_29_sexis', 117, 0, 0, 'no', 'meta']"
53,"['d3_29_sexis', 117, 0, 0, 'no', 'openai']"
54,"['d3_29_sexis', 47, 0, 1, 'yes', 'openai']"
55,"['d3_29_sexis', 47, 0, 0, 'no', 'meta']"
56,"['d3_29_sexis', 47, 0, 1, 'yes', 'mistral']"
57,"['d3_29_sexis', 126, 0, 0, 'no', 'mistral']"
58,"['d3_29_sexis', 126, 0, 0, 'no', 'meta']"
59,"['d3_29_sexis', 126, 0, 0, 'no', 'openai']"
60,"['d3_29_sexis', 174, 0, 1, 'yes', 'openai']"
61,"['d3_29_sexis', 174, 0, 0, 'no', 'meta']"
62,"['d3_29_sexis', 174, 0, 1, 'yes', 'mistral']"
63,"['d3_29_sexis', 1, 1, 1, 'yes', 'mistral']"
64,"['d3_29_sexis', 1, 1, 1, 'yes', 'meta']"
65,"['d3_29_sexis', 1, 1, 1, 'yes', 'openai']"
66,"['d3_29_sexis', 173, 0, 0, 'no', 'mistral']"
67,"['d3_29_sexis', 173, 0, 0, 'no', 'meta']"
68,"['d3_29_sexis', 173, 0, 0, 'no', 'openai']"
69,"['d3_29_sexis', 150, 0, 1, 'yes', 'meta']"
70,"['d3_29_sexis', 150, 0, 1, 'yes', 'openai']"
71,"['d3_29_sexis', 150, 0, 1, 'yes', 'mistral']"
72,"['d3_29_sexis', 73, 0, 0, 'no', 'mistral']"
73,"['d3_29_sexis', 73, 0, 0, 'no', 'meta']"
74,"['d3_29_sexis', 73, 0, 1, 'yes', 'openai']"
75,"['d3_29_sexis', 33, 1, 1, 'yes', 'openai']"
76,"['d3_29_sexis', 33, 1, 0, 'no', 'meta']"
77,"['d3_29_sexis', 33, 1, 1, 'yes', 'mistral']"
78,"['d3_29_sexis', 205, 0, 1, 'yes', 'meta']"
79,"['d3_29_sexis', 205, 0, 1, 'yes', 'openai']"
80,"['d3_29_sexis', 205, 0, 1, 'yes', 'mistral']"
81,"['d3_29_sexis', 72, 0, 1, 'yes', 'openai']"
82,"['d3_29_sexis', 72, 0, 0, 'no', 'meta']"
83,"['d3_29_sexis', 72, 0, 0, 'no', 'mistral']"
84,"['d3_29_sexis', 19, 1, 1, 'yes', 'mistral']"
85,"['d3_29_sexis', 19, 1, 1, 'yes', 'meta']"
86,"['d3_29_sexis', 19, 1, 1, 'yes', 'openai']"
87,"['d3_29_sexis', 20, 1, 1, 'yes', 'mistral']"
88,"['d3_29_sexis', 20, 1, 1, 'yes', 'meta']"
89,"['d3_29_sexis', 20, 1, 1, 'yes', 'openai']"
90,"['d3_29_sexis', 182, 0, 0, 'no', 'openai']"
91,"['d3_29_sexis', 182, 0, 0, 'no', 'mistral']"
92,"['d3_29_sexis', 182, 0, 0, 'no', 'meta']"
93,"['d3_29_sexis', 129, 0, 1, 'yes', 'openai']"
94,"['d3_29_sexis', 129, 0, 0, 'no', 'meta']"
95,"['d3_29_sexis', 129, 0, 0, 'no', 'mistral']"
96,"['d3_29_sexis', 173, 0, 0, 'no', 'openai']"
97,"['d3_29_sexis', 173, 0, 0, 'no', 'mistral']"
98,"['d3_29_sexis', 173, 0, 0, 'no', 'meta']"
99,"['d3_29_sexis', 156, 0, 0, 'no', 'mistral']"
100,"['d3_29_sexis', 156, 0, 0, 'no', 'meta']"
101,"['d3_29_sexis', 156, 0, 0, 'no', 'openai']"
102,"['d3_29_sexis', 115, 0, 0, 'no', 'openai']"
103,"['d3_29_sexis', 115, 0, 0, 'no', 'meta']"
104,"['d3_29_sexis', 115, 0, 0, 'no', 'mistral']"
105,"['d3_29_sexis', 209, 0, 0, 'no', 'mistral']"
106,"['d3_29_sexis', 209, 0, 0, 'no', 'meta']"
107,"['d3_29_sexis', 209, 0, 0, 'no', 'openai']"
108,"['d3_29_sexis', 81, 0, 0, 'no', 'meta']"
109,"['d3_29_sexis', 81, 0, 0, 'no', 'openai']"
110,"['d3_29_sexis', 81, 0, 0, 'no', 'mistral']"
111,"['d3_29_sexis', 118, 0, 1, 'yes', 'openai']"
112,"['d3_29_sexis', 118, 0, 0, 'no', 'meta']"
113,"['d3_29_sexis', 118, 0, 1, 'yes', 'mistral']"
114,"['d3_29_sexis', 178, 0, 0, 'no', 'mistral']"
115,"['d3_29_sexis', 178, 0, 0, 'no', 'meta']"
116,"['d3_29_sexis', 178, 0, 1, 'yes', 'openai']"
117,"['d3_29_sexis', 132, 0, 1, 'yes', 'mistral']"
118,"['d3_29_sexis', 132, 0, 1, 'yes', 'meta']"
119,"['d3_29_sexis', 132, 0, 1, 'yes', 'openai']"
120,"['d3_29_sexis', 185, 0, 0, 'no', 'openai']"
121,"['d3_29_sexis', 185, 0, 0, 'no', 'meta']"
122,"['d3_29_sexis', 185, 0, 0, 'no', 'mistral']"
123,"['d3_29_sexis', 124, 0, 0, 'no', 'openai']"
124,"['d3_29_sexis', 124, 0, 0, 'no', 'meta']"
125,"['d3_29_sexis', 124, 0, 0, 'no', 'mistral']"
126,"['d3_29_sexis', 151, 0, 0, 'no', 'meta']"
127,"['d3_29_sexis', 151, 0, 0, 'no', 'openai']"
128,"['d3_29_sexis', 151, 0, 0, 'no', 'mistral']"
129,"['d3_29_sexis', 9, 1, 1, 'yes', 'openai']"
130,"['d3_29_sexis', 9, 1, 0, 'no', 'meta']"
131,"['d3_29_sexis', 9, 1, 1, 'yes', 'mistral']"
132,"['d3_29_sexis', 48, 0, 0, 'no', 'meta']"
133,"['d3_29_sexis', 48, 0, 0, 'no', 'openai']"
134,"['d3_29_sexis', 48, 0, 0, 'no', 'mistral']"
135,"['d3_29_sexis', 62, 0, 1, 'yes', 'openai']"
136,"['d3_29_sexis', 62, 0, 0, 'no', 'meta']"
137,"['d3_29_sexis', 62, 0, 0, 'no', 'mistral']"
138,"['d3_29_sexis', 17, 1, 1, 'yes', 'openai']"
139,"['d3_29_sexis', 17, 1, 1, 'yes', 'meta']"
140,"['d3_29_sexis', 17, 1, 1, 'yes', 'mistral']"
141,"['d3_29_sexis', 50, 0, 0, 'no', 'mistral']"
142,"['d3_29_sexis', 50, 0, 0, 'no', 'meta']"
143,"['d3_29_sexis', 50, 0, 1, 'yes', 'openai']"
144,"['d3_29_sexis', 21, 1, 0, 'no', 'meta']"
145,"['d3_29_sexis', 21, 1, 0, 'no', 'openai']"
146,"['d3_29_sexis', 21, 1, 0, 'no', 'mistral']"
147,"['d3_29_sexis', 59, 0, 1, 'yes', 'openai']"
148,"['d3_29_sexis', 59, 0, 1, 'yes', 'meta']"
149,"['d3_29_sexis', 59, 0, 1, 'yes', 'mistral']"
150,"['d3_29_sexis', 136, 0, 0, 'no', 'openai']"
151,"['d3_29_sexis', 136, 0, 0, 'no', 'meta']"
152,"['d3_29_sexis', 136, 0, 0, 'no', 'mistral']"
153,"['d3_29_sexis', 78, 0, 0, 'no', 'meta']"
154,"['d3_29_sexis', 78, 0, 0, 'no', 'openai']"
155,"['d3_29_sexis', 78, 0, 0, 'no', 'mistral']"
156,"['d3_29_sexis', 79, 0, 0, 'no', 'mistral']"
157,"['d3_29_sexis', 79, 0, 0, 'no', 'meta']"
158,"['d3_29_sexis', 79, 0, 0, 'no', 'openai']"
